room_id,nearest_node_id
DKU_SCI2_1_104_1,SCI2_1_R_104_1
DKU_SCI2_1_105,SCI2_1_R_105
DKU_SCI2_1_106,SCI2_1_R_106
DKU_SCI2_1_107,SCI2_1_R_107
DKU_SCI2_1_107_1,SCI2_1_R_107_1
DKU_SCI2_1_108,SCI2_1_R_108
DKU_SCI2_1_109,SCI2_1_R_109
DKU_SCI2_1_110,SCI2_1_R_110
DKU_SCI2_1_110_1,SCI2_1_R_110_1
DKU_SCI2_1_110_2,SCI2_1_R_110_2
DKU_SCI2_1_111,SCI2_1_R_111
DKU_SCI2_2_201,SCI2_2_N024
DKU_SCI2_2_202,SCI2_2_N024
DKU_SCI2_2_203,SCI2_2_N023
DKU_SCI2_2_204,SCI2_2_N022
DKU_SCI2_2_205,SCI2_2_N021
DKU_SCI2_2_206,SCI2_2_N017
DKU_SCI2_2_207,SCI2_2_N018
DKU_SCI2_2_208,SCI2_2_N018
DKU_SCI2_2_209,SCI2_2_N018
DKU_SCI2_2_210,SCI2_2_N018
DKU_SCI2_2_211,SCI2_2_N018
DKU_SCI2_2_212,SCI2_2_N018
DKU_SCI2_2_213,SCI2_2_N017
DKU_SCI2_2_214,SCI2_2_N017
DKU_SCI2_2_215,SCI2_2_N021
DKU_SCI2_2_216,SCI2_2_N022
DKU_SCI2_2_217,SCI2_2_N023
DKU_SCI2_2_218,SCI2_2_N027
DKU_SCI2_2_219,SCI2_2_N028
DKU_SCI2_2_220,SCI2_2_N029
DKU_SCI2_2_220_1,SCI2_2_R_220_1
DKU_SCI2_2_221,SCI2_2_N029
DKU_SCI2_2_221_1,SCI2_2_R_221_1
DKU_SCI2_2_222,SCI2_2_N027
DKU_SCI2_3_301,SCI2_3_R_301
DKU_SCI2_3_302,SCI2_3_R_302
DKU_SCI2_3_303,SCI2_3_R_303
DKU_SCI2_3_304,SCI2_3_R_304
DKU_SCI2_3_305,SCI2_3_R_305
DKU_SCI2_3_305_1,SCI2_3_R_305_1
DKU_SCI2_3_306,SCI2_3_R_306
DKU_SCI2_3_307,SCI2_3_R_307
DKU_SCI2_3_308,SCI2_3_R_308
DKU_SCI2_3_309,SCI2_3_R_309
DKU_SCI2_3_310,SCI2_3_R_310
DKU_SCI2_3_311,SCI2_3_R_311
